 Área ; Aspecto/Subseção ; Fator ; Descrição 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO PSICOLÓGICO ; Memória ; Mecanismos cognitivos e dinâmicos associados ao armazenamento, retenção e recuperação de informações. O seu rebaixamento leva a transferência de aprendizagem negativa, esquecimento ou efeito de experiências de aprendizagem e condicionamentos anteriores, levando a desempenhos inadequados (hábitos adquiridos). 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO PSICOLÓGICO ; Motivação ; Motivação rebaixada ou elevada, compulsão para uma ação ou valorização de interesses próprios, que sinalizam desajustes na interação do indivíduo com uma dada situação e levam a um consequente desempenho operacional inadequado. 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO PSICOLÓGICO ; Organização do trabalho ; Ineficiência na organização do contexto de trabalho. Reflete prejuízos na divisão das tarefas, que favorecem acúmulo de funções, prazos e tipos de pressão inadequadas ou carga de trabalho elevada. 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO PSICOLÓGICO ; Percepção ; Prejuízos na capacidade de reconhecer, organizar, compreender e projetar as sensações provenientes dos estímulos internos e externos ao ambiente de operação/trabalho. Condição que leva à redução da consciência situacional, desorientação geográfica, espacial ou temporal, percepção atrasada, percepção seletiva ou “visão de túnel’’, sobrecarga de estímulo, expectação ou ilusão. 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO PSICOLÓGICO ; Processo decisório ; Dificuldades para perceber, analisar, escolher alternativas e agir adequadamente. Essas dificuldades podem se originar da tomada de decisão errada, demorada ou prematura, julgamentos inadequados, indecisão ou vieses. 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO PSICOLÓGICO ; Processos Organizacionais ; Ineficiência na gestão de pessoas e processos, incluindo o suporte organizacional. Levam a falta ou falhas no recrutamento, seleção, acompanhamento, supervisão, avaliação de desempenho ou mesmo no delineamento de procedimentos organizacionais importantes à manutenção da segurança operacional. 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO PSICOLÓGICO ; Relações interpessoais ; Dificuldades no modo como pessoas e grupos interagem entre si na organização. Incluem o excesso de informalidade nas relações, conflitos interpessoais, problemas de comportamento e pressões entre superiores, subordinados e/ou passageiros. 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO PSICOLÓGICO ; Sistemas de apoio ; Ausência ou inadequação do conjunto de normas, manuais, publicações, mapas e softwares que são disponibilizados para os indivíduos desempenharem suas funções. Podem também exibir falhas em termos de conteúdo, linguagem, redação e impressão. 
 ÁREA DE INVESTIGAÇÃO DO FATOR MATERIAL ; ASPECTO DE FABRICAÇÃO ; Fabricação ; Participação do processo de fabricação, por deficiência na montagem, no material empregado ou no seu manuseio durante esse processo. 
 ÁREA DE INVESTIGAÇÃO DO FATOR MATERIAL ; ASPECTO DE MANUSEIO DO MATERIAL ; Manuseio do material ; Participação do material em questão, devido à falha prematura decorrente de manuseio, estocagem ou utilização sob condições inadequadas até a sua entrada em operação, provocando alterações no seu comportamento previsto em projeto. Não está incluído o manuseio durante o processo de fabricação. 
 ÁREA DE INVESTIGAÇÃO DO FATOR MATERIAL ; ASPECTO DE PROJETO ; Projeto ;" Participação do projeto da aeronave ou componente, por inadequação do material estabelecido; dos controles, luzes ou instrumentos devido à interferência induzida pela sua forma, tamanho, instalação ou posicionamento; ou do estabelecimento inadequado de parâmetros de operação ou de manutenção preventiva. "
 ÁREA DE INVESTIGAÇÃO DO FATOR OPERACIONAL ; DESEMPENHO TÉCNICO DO SER HUMANO / OPERAÇÃO DA AERONAVE ; Aplicação dos comandos ; Inadequação no uso dos comandos de voo da aeronave por parte do piloto. 
 ÁREA DE INVESTIGAÇÃO DO FATOR OPERACIONAL ; DESEMPENHO TÉCNICO DO SER HUMANO / OPERAÇÃO DA AERONAVE ; Coordenação de cabine ;" Ineficiência no aproveitamento dos recursos humanos disponíveis para operação da aeronave, em virtude de: gerenciamento inadequado das tarefas afetas a cada tripulante; falha ou confusão na comunicação ou no relacionamento interpessoal; ou ainda, inobservância de normas operacionais. "
 ÁREA DE INVESTIGAÇÃO DO FATOR OPERACIONAL ; DESEMPENHO TÉCNICO DO SER HUMANO / OPERAÇÃO DA AERONAVE ; Desvio de navegação ; Desvio, feito involuntariamente pelo piloto, de uma rota autorizada e/ou do perfil de um procedimento padrão de chegada (STAR), de aproximação (IAC) ou de saída(SID). 
 ÁREA DE INVESTIGAÇÃO DO FATOR OPERACIONAL ; DESEMPENHO TÉCNICO DO SER HUMANO / OPERAÇÃO DA AERONAVE ; Fraseologia da tripulação ; Inadequação na formulação das mensagens veiculadas da aeronave para o órgão ATS durante o voo realizado. 
 ÁREA DE INVESTIGAÇÃO DO FATOR OPERACIONAL ; DESEMPENHO TÉCNICO DO SER HUMANO / OPERAÇÃO DA AERONAVE ; Indisciplina de voo ; Violação (intencional) por parte do piloto, de normas operacionais, regulamentos, ou regras de tráfego aéreo, aqui incluídas as autorizações emitidas pelo órgão ATC, sem que haja justificado motivo para tal. 
 ÁREA DE INVESTIGAÇÃO DO FATOR OPERACIONAL ; DESEMPENHO TÉCNICO DO SER HUMANO / OPERAÇÃO DA AERONAVE ; Instrução ; Participação do processo de treinamento previamente recebido pelo(s) envolvido(s) na ocorrência, por deficiência quantitativa e/ou qualitativa, não lhe(s) tendo sido atribuída a plenitude dos conhecimentos e demais condições técnicas necessárias para o desempenho da atividade. 
 ÁREA DE INVESTIGAÇÃO DO FATOR OPERACIONAL ; DESEMPENHO TÉCNICO DO SER HUMANO / OPERAÇÃO DA AERONAVE ; Julgamento de pilotagem ; Inadequada avaliação, por parte do piloto, de determinados parâmetros relacionados à operação da aeronave, estando qualificado para operá-la. 
 ÁREA DE INVESTIGAÇÃO DO FATOR OPERACIONAL ; DESEMPENHO TÉCNICO DO SER HUMANO / OPERAÇÃO DA AERONAVE ; Limite de autorização ; Ultrapassagem, feita involuntariamente pelo piloto, de uma restrição, limite vertical e/ou horizontal, constante de uma autorização ATC emitida durante a realização do voo. 
 ÁREA DE INVESTIGAÇÃO DO FATOR OPERACIONAL ; DESEMPENHO TÉCNICO DO SER HUMANO / OPERAÇÃO DA AERONAVE ; Pessoal de apoio ; Participação de pessoal que realiza os serviços de preparação e recebimento de aeronave, reabastecimento, tratoramento, apoio de rampa e outros envolvidos na operação da aeronave. 
 ÁREA DE INVESTIGAÇÃO DO FATOR OPERACIONAL ; DESEMPENHO TÉCNICO DO SER HUMANO / OPERAÇÃO DA AERONAVE ; Planejamento do voo ; Inadequação nos trabalhos de preparação realizados pelo piloto para o voo ou parte dele. Incluem-se neste fator: o desconhecimento das condições operacionais da rota, das características físicas dos aeródromos, da infraestrutura de navegação aérea e/ou modificações, temporárias ou não, divulgadas por NOTAM, que afetem a segurança do tráfego aéreo relativa ao voo realizado. 
 ÁREA DE INVESTIGAÇÃO DO FATOR OPERACIONAL ; DESEMPENHO TÉCNICO DO SER HUMANO / OPERAÇÃO DA AERONAVE ; Planejamento gerencial ; Inadequação no planejamento realizado pela organização, em seu nível gerencial, sobretudo no tocante à alocação de recursos materiais e humanos para o desenvolvimento das atividades operacionais. 
 ÁREA DE INVESTIGAÇÃO DO FATOR OPERACIONAL ; DESEMPENHO TÉCNICO DO SER HUMANO / OPERAÇÃO DA AERONAVE ; Pouca experiência do piloto ; Condição apresentada pelo piloto, decorrente de pouca experiência na atividade aérea, na aeronave ou especificamente no tipo ou nas circunstâncias da operação. 
 ÁREA DE INVESTIGAÇÃO DO FATOR OPERACIONAL ; DESEMPENHO TÉCNICO DO SER HUMANO / OPERAÇÃO DA AERONAVE ; Supervisão gerencial ; Supervisão inadequada, pela gerência (não tripulantes) da organização, das atividades de planejamento e/ou de execução nos âmbitos administrativo, técnico e/ou operacional. Não se inclui neste item a supervisão ATS. 
 ÁREA DE INVESTIGAÇÃO DO FATOR OPERACIONAL ; DESEMPENHO TÉCNICO DO SER HUMANO / MANUTENÇÃO DA AERONAVE ; Manutenção da aeronave ;" Participação do pessoal de manutenção, por inadequação dos serviços realizados na aeronave, preventivos ou corretivos; e/ou do trato ou da interpretação de relatórios, boletins, ordens técnicas, e similares. "
 ÁREA DE INVESTIGAÇÃO DO FATOR OPERACIONAL ; PRESTAÇÃO DE SERVIÇOS DE TRÁFEGO AÉREO ; Conhecimento de normas (ATS) ; Influência do nível de entendimento, por parte do controlador, das regras e/ou dos procedimentos aplicáveis pelo órgão ATS durante a prestação dos serviços de tráfego aéreo. 
 ÁREA DE INVESTIGAÇÃO DO FATOR OPERACIONAL ; PRESTAÇÃO DE SERVIÇOS DE TRÁFEGO AÉREO ; Coordenação de tráfego (ATS) ; Inadequação na troca de informações entre órgãos ATS ou entre posições operacionais de um mesmo órgão, efetuada com a finalidade de assegurar a continuidade na prestação dos serviços de tráfego aéreo. 
 ÁREA DE INVESTIGAÇÃO DO FATOR OPERACIONAL ; PRESTAÇÃO DE SERVIÇOS DE TRÁFEGO AÉREO ; Emprego de meios (ATS) ; Aplicação inadequada dos meios disponíveis para a prestação dos serviços de tráfego aéreo. 
 ÁREA DE INVESTIGAÇÃO DO FATOR OPERACIONAL ; PRESTAÇÃO DE SERVIÇOS DE TRÁFEGO AÉREO ; Fraseologia do Órgão ATS ; Inadequação na formulação das mensagens veiculadas do órgão ATS para as aeronaves, durante a prestação dos serviços de tráfego aéreo. 
 ÁREA DE INVESTIGAÇÃO DO FATOR OPERACIONAL ; PRESTAÇÃO DE SERVIÇOS DE TRÁFEGO AÉREO ; Habilidade de controle (ATS) ; Grau de destreza do controlador na execução de um procedimento e/ou na aplicação de um método durante a prestação dos serviços de tráfego aéreo. 
 ÁREA DE INVESTIGAÇÃO DO FATOR OPERACIONAL ; PRESTAÇÃO DE SERVIÇOS DE TRÁFEGO AÉREO ; Planejamento de tráfego (ATS) ; Emissão de autorizações sem que tenham sido previamente estabelecidas, durante a prestação dos serviços, a separação e o ordenamento do fluxo de tráfego aéreo. 
 ÁREA DE INVESTIGAÇÃO DO FATOR OPERACIONAL ; PRESTAÇÃO DE SERVIÇOS DE TRÁFEGO AÉREO ; Substituição na posição (ATS) ; Inobservância dos procedimentos aplicáveis e/ou inadequação na troca de informações decorrentes das substituições de equipes ou de controladores nas posições operacionais durante a prestação dos serviços de tráfego aéreo. 
 ÁREA DE INVESTIGAÇÃO DO FATOR OPERACIONAL ; PRESTAÇÃO DE SERVIÇOS DE TRÁFEGO AÉREO ; Supervisão (ATS) ; Gerenciamento das funções operacionais durante o turno de serviço e/ou falta de acompanhamento das ações, quando requerido, nas posições operacionais. 
 ÁREA DE INVESTIGAÇÃO DO FATOR OPERACIONAL ; INFRAESTRUTURA AEROPORTUÁRIA ; Infraestrutura aeroportuária ; Participação da infraestrutura aeroportuária, incluindo as condições físicas e operacionais do aeródromo. 
 ÁREA DE INVESTIGAÇÃO DO FATOR OPERACIONAL ; INFRAESTRUTURA DE TRÁFEGO AÉREO ; Console (ATS) ; Falha no console operacional, gerando uma dificuldade operacional durante a prestação dos serviços de tráfego aéreo. 
 ÁREA DE INVESTIGAÇÃO DO FATOR OPERACIONAL ; INFRAESTRUTURA DE TRÁFEGO AÉREO ; Equipamento de apoio (ATS) ; Participação do equipamento de apoio, por inadequação às necessidades da operação ou mau funcionamento, inclusive provocado por manutenção. 
 ÁREA DE INVESTIGAÇÃO DO FATOR OPERACIONAL ; INFRAESTRUTURA DE TRÁFEGO AÉREO ; Publicações (ATS) ; Inadequação das publicações aeronáuticas aplicáveis durante a prestação dos serviços de tráfego aéreo, por falta, erro e/ou deficiência de redação. 
 ÁREA DE INVESTIGAÇÃO DO FATOR OPERACIONAL ; INFRAESTRUTURA DE TRÁFEGO AÉREO ; RADAR (ATS) ; Falha de cobertura ou falta de um equipamento RADAR, gerando uma dificuldade operacional durante a prestação dos serviços de tráfego aéreo. 
 ÁREA DE INVESTIGAÇÃO DO FATOR OPERACIONAL ; INFRAESTRUTURA DE TRÁFEGO AÉREO ; Serviço fixo (ATS) ; Falta de enlace do serviço fixo aeronáutico, gerando uma dificuldade operacional durante a prestação dos serviços de tráfego aéreo. 
 ÁREA DE INVESTIGAÇÃO DO FATOR OPERACIONAL ; INFRAESTRUTURA DE TRÁFEGO AÉREO ; Serviço móvel (ATS) ; Falha ou falta de comunicações do serviço móvel aeronáutico, gerando uma dificuldade operacional durante a prestação dos serviços de tráfego aéreo. 
 ÁREA DE INVESTIGAÇÃO DO FATOR OPERACIONAL ; INFRAESTRUTURA DE TRÁFEGO AÉREO ; Tratamento (ATS) ; Falha ou inadequação dos sistemas de tratamento de planos de voo (STPV) e dados de voo (DV), gerando uma dificuldade operacional durante a prestação dos serviços de tráfego aéreo. 
 ÁREA DE INVESTIGAÇÃO DO FATOR OPERACIONAL ; INFRAESTRUTURA DE TRÁFEGO AÉREO ; Visualização (ATS) ; Falha total ou parcial e/ou inadequação da visualização-RADAR apresentada no console operacional, gerando uma dificuldade operacional durante a prestação dos serviços de tráfego aéreo. 
 ÁREA DE INVESTIGAÇÃO DO FATOR OPERACIONAL ; OUTROS ELEMENTOS RELACIONADOS AO AMBIENTE OPERACIONAL ; Presença de fauna (não ave) ; Presença de animais (não ave), interferindo na operação e conduzindo a circunstâncias anormais. 
 ÁREA DE INVESTIGAÇÃO DO FATOR OPERACIONAL ; OUTROS ELEMENTOS RELACIONADOS AO AMBIENTE OPERACIONAL ; Presença de ave ; Presença de aves, interferindo na operação e conduzindo a circunstâncias anormais. 
 ÁREA DE INVESTIGAÇÃO DO FATOR OPERACIONAL ; OUTROS ELEMENTOS RELACIONADOS AO AMBIENTE OPERACIONAL ; Condições meteorológicas adversas ; Participação de fenômenos meteorológicos, interferindo na operação e conduzindo a circunstâncias anormais. 
 ÁREA DE INVESTIGAÇÃO DO FATOR OPERACIONAL ; OUTRO ; Outro ; Contribuição de algum fator contribuinte não identificado acima.
